,Category,Rating
16,LIFESTYLE,4.1
4,BUSINESS,4.1
21,SHOPPING,4.1
13,HEALTH_AND_FITNESS,4.1
26,PERSONALIZATION,4.1
2,BEAUTY,4.1
19,MEDICAL,4.1
30,VIDEO_PLAYERS,4.0
29,WEATHER,4.0
28,PARENTING,4.0
27,PRODUCTIVITY,4.0
18,FAMILY,4.0
25,TOOLS,4.0
24,TRAVEL_AND_LOCAL,4.0
23,SPORTS,4.0
31,NEWS_AND_MAGAZINES,4.0
22,PHOTOGRAPHY,4.0
20,SOCIAL,4.0
0,ART_AND_DESIGN,4.0
17,GAME,4.0
1,AUTO_AND_VEHICLES,4.0
15,LIBRARIES_AND_DEMO,4.0
14,HOUSE_AND_HOME,4.0
12,FOOD_AND_DRINK,4.0
11,FINANCE,4.0
10,EVENTS,4.0
9,ENTERTAINMENT,4.0
8,EDUCATION,4.0
6,COMMUNICATION,4.0
5,COMICS,4.0
3,BOOKS_AND_REFERENCE,4.0
7,DATING,3.9
32,MAPS_AND_NAVIGATION,3.8
